id,created_at,text
1192439426946871301,2019-11-07 13:51:28,"b'RT @realDonaldTrump: The degenerate Washington Post MADE UP the story about me asking Bill Barr to hold a news conference. Never happened,\xe2\x80\xa6'"
1192439317077135360,2019-11-07 13:51:02,b'RT @realDonaldTrump: Bill Barr did not decline my request to talk about Ukraine. The story was a Fake Washington Post con job with an \xe2\x80\x9canon\xe2\x80\xa6'
1192439194406260738,2019-11-07 13:50:33,"b'RT @realDonaldTrump: ....The LameStream Media, which is The Enemy of the People, is working overtime with made up stories in order to drive\xe2\x80\xa6'"
1192439194330828800,2019-11-07 13:50:33,"b'RT @realDonaldTrump: The story in the Amazon Washington Post, of course picked up by Fake News CNN, saying \xe2\x80\x9cPresident Trump asked for AG Ba\xe2\x80\xa6'"
1192439059332947969,2019-11-07 13:50:00,"b'RT @realDonaldTrump: Years ago, when Media was legitimate, people known as \xe2\x80\x9cFact Checkers\xe2\x80\x9d would always call to check and see if a story wa\xe2\x80\xa6'"
1192218212815036416,2019-11-06 23:12:26,"b""RT @WhiteHouse: It is every American's duty to protect and defend the Constitution and keep America the greatest country the world has ever\xe2\x80\xa6"""
1192218212781449217,2019-11-06 23:12:26,b'RT @WhiteHouse: No President in history has confirmed as many circuit court judges in this period of time as President @realDonaldTrump.\xe2\x80\xa6'
1192218101846290434,2019-11-06 23:12:00,"b""RT @WhiteHouse: Our judicial system has been under attack by the left, who aim to impose by judges what they can't win at the ballot box. h\xe2\x80\xa6"""
1192195956151861249,2019-11-06 21:44:00,"b'RT @WhiteHouse: ""These distinguished men and women are some of the most gifted scholars, respected jurists, and finest legal minds ever pla\xe2\x80\xa6'"
1192195956034408449,2019-11-06 21:44:00,b'RT @WhiteHouse: President @realDonaldTrump and Republicans in Congress have confirmed more than 150 federal judges! https://t.co/dreKFPyw3i'
1192186958103101442,2019-11-06 21:08:15,"b'RT @realDonaldTrump: ....Also talked about their Border with Syria, the eradication of terrorism, the ending of hostilities with the Kurds,\xe2\x80\xa6'"
1192186851442003970,2019-11-06 21:07:49,b'RT @realDonaldTrump: Just had a very good call with President @RTErdogan of Turkey. He informed me that they have captured numerous ISIS fi\xe2\x80\xa6'
1192158377222258688,2019-11-06 19:14:41,"b'RT @realDonaldTrump: Just had a meeting with top representatives from Egypt, Ethiopia, and Sudan to help solve their long running dispute o\xe2\x80\xa6'"
